State,Date,Total,Category
Colorado,3/5/2020,"  105,416,647 ",Beverages
Connecticut,3/5/2020,"  52,974,800 ",Beverages
Florida,3/5/2020,"  415,458,417 ",Beverages
Georgia,3/5/2020,"  232,382,556 ",Beverages
Illinois,3/5/2020,"  189,455,076 ",Beverages
Indiana,3/5/2020,"  131,456,101 ",Beverages
Iowa,3/5/2020,"  71,602,720 ",Beverages
Kansas,3/5/2020,"  55,107,460 ",Beverages
Kentucky,3/5/2020,"  105,113,498 ",Beverages
Louisiana,3/5/2020,"  109,850,443 ",Beverages
Maine,3/5/2020,"  27,783,408 ",Beverages
Maryland,3/5/2020,"  95,277,517 ",Beverages
Massachusetts,3/5/2020,"  104,091,231 ",Beverages
Michigan,3/5/2020,"  173,001,965 ",Beverages
Minnesota,3/5/2020,"  98,819,370 ",Beverages
Mississippi,3/5/2020,"  80,084,004 ",Beverages
Missouri,3/5/2020,"  118,208,045 ",Beverages
Nebraska,3/5/2020,"  38,932,415 ",Beverages
Nevada,3/5/2020,"  64,109,292 ",Beverages
New Hampshire,3/5/2020,"  32,853,085 ",Beverages
New Mexico,3/5/2020,"  43,768,993 ",Beverages
New York,3/5/2020,"  254,010,485 ",Beverages
North Carolina,3/5/2020,"  218,258,711 ",Beverages
Ohio,3/5/2020,"  223,836,360 ",Beverages
Oklahoma,3/5/2020,"  88,871,582 ",Beverages
Oregon,3/5/2020,"  73,277,376 ",Beverages
Pennsylvania,3/5/2020,"  213,421,497 ",Beverages
Rhode Island,3/5/2020,"  15,581,453 ",Beverages
South Carolina,3/5/2020,"  116,196,588 ",Beverages
South Dakota,3/5/2020,"  17,620,604 ",Beverages
Tennessee,3/5/2020,"  155,827,619 ",Beverages
Texas,3/5/2020,"  538,277,575 ",Beverages
Utah,3/5/2020,"  52,677,004 ",Beverages
Vermont,3/5/2020,"  11,244,376 ",Beverages
Virginia,3/5/2020,"  176,705,173 ",Beverages
Washington,3/5/2020,"  118,100,977 ",Beverages
West Virginia,3/5/2020,"  45,386,372 ",Beverages
Wisconsin,3/5/2020,"  96,537,163 ",Beverages
Wyoming,3/5/2020,"  13,831,896 ",Beverages
Alabama,4/10/2020,"  133,713,630 ",Beverages
Arizona,4/10/2020,"  132,505,937 ",Beverages
Arkansas,4/10/2020,"  67,850,338 ",Beverages
California,4/10/2020,"  554,931,497 ",Beverages
Colorado,4/10/2020,"  106,364,272 ",Beverages
Connecticut,4/10/2020,"  55,141,356 ",Beverages
Florida,4/10/2020,"  405,135,429 ",Beverages
Georgia,4/10/2020,"  237,617,892 ",Beverages
Illinois,4/10/2020,"  186,846,618 ",Beverages
Indiana,4/10/2020,"  132,507,588 ",Beverages
Iowa,4/10/2020,"  67,069,562 ",Beverages
Kansas,4/10/2020,"  52,679,711 ",Beverages
Kentucky,4/10/2020,"  105,812,853 ",Beverages
Louisiana,4/10/2020,"  117,294,523 ",Beverages
Maine,4/10/2020,"  28,196,622 ",Beverages
Maryland,4/10/2020,"  98,860,220 ",Beverages
Massachusetts,4/10/2020,"  108,992,157 ",Beverages
Michigan,4/10/2020,"  171,357,368 ",Beverages
Minnesota,4/10/2020,"  90,137,231 ",Beverages
Mississippi,4/10/2020,"  84,063,070 ",Beverages
Missouri,4/10/2020,"  115,285,442 ",Beverages
Nebraska,4/10/2020,"  36,077,435 ",Beverages
Nevada,4/10/2020,"  61,749,107 ",Beverages
New Hampshire,4/10/2020,"  32,924,901 ",Beverages
New Mexico,4/10/2020,"  42,431,055 ",Beverages
New York,4/10/2020,"  264,421,970 ",Beverages
North Carolina,4/10/2020,"  219,051,176 ",Beverages
Ohio,4/10/2020,"  227,625,341 ",Beverages
Oklahoma,4/10/2020,"  88,335,873 ",Beverages
Oregon,4/10/2020,"  70,735,758 ",Beverages
Pennsylvania,4/10/2020,"  219,759,186 ",Beverages
Rhode Island,4/10/2020,"  15,666,300 ",Beverages
South Carolina,4/10/2020,"  118,393,333 ",Beverages
South Dakota,4/10/2020,"  16,607,853 ",Beverages
Tennessee,4/10/2020,"  159,085,809 ",Beverages
Texas,4/10/2020,"  555,993,589 ",Beverages
Utah,4/10/2020,"  50,477,556 ",Beverages
Vermont,4/10/2020,"  11,398,364 ",Beverages
Virginia,4/10/2020,"  176,217,089 ",Beverages
Washington,4/10/2020,"  112,825,238 ",Beverages
West Virginia,4/10/2020,"  45,261,604 ",Beverages
Wisconsin,4/10/2020,"  90,455,369 ",Beverages
Wyoming,4/10/2020,"  13,837,191 ",Beverages
Alabama,5/1/2020,"  104,239,954 ",Beverages
Arizona,5/1/2020,"  109,641,291 ",Beverages
Arkansas,5/1/2020,"  56,942,259 ",Beverages
California,5/1/2020,"  450,124,199 ",Beverages
Colorado,5/1/2020,"  93,858,490 ",Beverages
Connecticut,5/1/2020,"  51,480,725 ",Beverages
Florida,5/1/2020,"  384,552,791 ",Beverages
Georgia,5/1/2020,"  193,036,456 ",Beverages
Illinois,5/1/2020,"  167,140,897 ",Beverages
Indiana,5/1/2020,"  115,775,164 ",Beverages
